"Country or Area","Element Code","Element","Year","Unit","Value","Value Footnotes"
"Afghanistan","5312","Area harvested","2017","ha","13413.00","Im"
"Afghanistan","5312","Area harvested","2016","ha","8595.00",""
"Afghanistan","5312","Area harvested","2015","ha","9116.00",""
"Afghanistan","5312","Area harvested","2014","ha","9005.00",""
"Afghanistan","5312","Area harvested","2013","ha","9005.00",""
"Afghanistan","5312","Area harvested","2012","ha","8350.00",""
"Afghanistan","5419","Yield","2017","hg/ha","98275.00","Fc"
"Afghanistan","5419","Yield","2016","hg/ha","20819.00","Fc"
"Afghanistan","5419","Yield","2015","hg/ha","96189.00","Fc"
"Afghanistan","5419","Yield","2014","hg/ha","99944.00","Fc"
"Afghanistan","5419","Yield","2013","hg/ha","99944.00","Fc"
"Afghanistan","5419","Yield","2012","hg/ha","100000.00","Fc"
"Afghanistan","5510","Production","2017","tonnes","131816.00",""
"Afghanistan","5510","Production","2016","tonnes","17894.00",""
"Afghanistan","5510","Production","2015","tonnes","87686.00",""
"Afghanistan","5510","Production","2014","tonnes","90000.00","F"
"Afghanistan","5510","Production","2013","tonnes","90000.00",""
"Afghanistan","5510","Production","2012","tonnes","83500.00",""
"Africa","5312","Area harvested","2017","ha","76866.00","A"
"Africa","5312","Area harvested","2016","ha","71487.00","A"
"Africa","5312","Area harvested","2015","ha","74849.00","A"
"Africa","5312","Area harvested","2014","ha","73000.00","A"
"Africa","5312","Area harvested","2013","ha","82124.00","A"
"Africa","5312","Area harvested","2012","ha","83869.00","A"
"Africa","5419","Yield","2017","hg/ha","72563.00","Fc"
"Africa","5419","Yield","2016","hg/ha","70600.00","Fc"
"Africa","5419","Yield","2015","hg/ha","80457.00","Fc"
"Africa","5419","Yield","2014","hg/ha","68216.00","Fc"
"Africa","5419","Yield","2013","hg/ha","74573.00","Fc"
"Africa","5419","Yield","2012","hg/ha","72060.00","Fc"
"Africa","5510","Production","2017","tonnes","557760.00","A"
"Africa","5510","Production","2016","tonnes","504703.00","A"
"Africa","5510","Production","2015","tonnes","602214.00","A"
"Africa","5510","Production","2014","tonnes","497974.00","A"
"Africa","5510","Production","2013","tonnes","612429.00","A"
"Africa","5510","Production","2012","tonnes","604355.00","A"
"Albania","5312","Area harvested","2017","ha","326.00",""
"Albania","5312","Area harvested","2016","ha","326.00",""
"Albania","5312","Area harvested","2015","ha","331.00",""
"Albania","5312","Area harvested","2014","ha","320.00",""
"Albania","5312","Area harvested","2013","ha","315.00",""
"Albania","5312","Area harvested","2012","ha","301.00",""
"Albania","5419","Yield","2017","hg/ha","154685.00","Fc"
"Albania","5419","Yield","2016","hg/ha","159325.00","Fc"
"Albania","5419","Yield","2015","hg/ha","152533.00","Fc"
"Albania","5419","Yield","2014","hg/ha","129375.00","Fc"
"Albania","5419","Yield","2013","hg/ha","139683.00","Fc"
"Albania","5419","Yield","2012","hg/ha","147176.00","Fc"
"Albania","5510","Production","2017","tonnes","5040.00",""
"Albania","5510","Production","2016","tonnes","5194.00",""
"Albania","5510","Production","2015","tonnes","5045.00",""
"Albania","5510","Production","2014","tonnes","4140.00",""
"Albania","5510","Production","2013","tonnes","4400.00",""
"Albania","5510","Production","2012","tonnes","4430.00",""
"Algeria","5312","Area harvested","2017","ha","44307.00",""
"Algeria","5312","Area harvested","2016","ha","38239.00",""
"Algeria","5312","Area harvested","2015","ha","38857.00",""
"Algeria","5312","Area harvested","2014","ha","38590.00",""
